 2000	 0.000391	 0.000498
 3000	 0.000259	 0.000237
 4000	 0.000114	 0.000004
 5000	 0.000144	 0.000005
 6000	 0.000166	 0.000001
 7000	 0.000206	 0.000008
 8000	 0.000231	 0.000007
 9000	 0.000254	 0.000008
10000	 0.000308	 0.000027
11000	 0.000327	 0.000012
12000	 0.000364	 0.000032
13000	 0.000375	 0.000013
14000	 0.000398	 0.000009
15000	 0.000474	 0.000057
16000	 0.000480	 0.000013
17000	 0.000499	 0.000004
18000	 0.000533	 0.000017
19000	 0.000553	 0.000012
20000	 0.000573	 0.000007
21000	 0.000595	 0.000006
22000	 0.000742	 0.000093
23000	 0.000725	 0.000015
24000	 0.000748	 0.000013
25000	 0.000763	 0.000016
26000	 0.000786	 0.000008
27000	 0.000819	 0.000015
28000	 0.000837	 0.000017
29000	 0.000857	 0.000015
30000	 0.000883	 0.000003
31000	 0.000905	 0.000012
32000	 0.001083	 0.000134
33000	 0.001014	 0.000011
34000	 0.001055	 0.000022
35000	 0.001064	 0.000010
36000	 0.001096	 0.000022
37000	 0.001121	 0.000009
38000	 0.001136	 0.000014
39000	 0.001159	 0.000013
40000	 0.001202	 0.000005
41000	 0.001206	 0.000013
42000	 0.001250	 0.000013
43000	 0.001252	 0.000010
44000	 0.001295	 0.000012
45000	 0.001305	 0.000007
46000	 0.001326	 0.000012
47000	 0.001351	 0.000010
48000	 0.001789	 0.000250
49000	 0.001570	 0.000010
50000	 0.001586	 0.000023
