 2000	 0.001187	 0.002802
 3000	 0.001144	 0.000026
 4000	 0.001524	 0.000021
 5000	 0.001901	 0.000028
 6000	 0.002276	 0.000032
 7000	 0.002677	 0.000044
 8000	 0.003015	 0.000030
 9000	 0.003425	 0.000061
10000	 0.003826	 0.000076
11000	 0.004183	 0.000082
12000	 0.004551	 0.000083
13000	 0.004955	 0.000091
14000	 0.005349	 0.000106
15000	 0.005709	 0.000091
16000	 0.006008	 0.000059
17000	 0.006393	 0.000065
18000	 0.006799	 0.000119
19000	 0.007172	 0.000064
20000	 0.007608	 0.000111
21000	 0.007869	 0.000089
22000	 0.008246	 0.000060
23000	 0.008613	 0.000060
24000	 0.009035	 0.000065
25000	 0.009418	 0.000084
26000	 0.009788	 0.000086
27000	 0.010160	 0.000134
28000	 0.010535	 0.000088
29000	 0.010913	 0.000073
30000	 0.012764	 0.002009
31000	 0.011725	 0.000105
32000	 0.012038	 0.000030
33000	 0.012362	 0.000043
34000	 0.012747	 0.000005
35000	 0.013267	 0.000120
36000	 0.013648	 0.000188
37000	 0.013923	 0.000078
38000	 0.014300	 0.000009
39000	 0.014690	 0.000029
40000	 0.015000	 0.000079
41000	 0.015469	 0.000104
42000	 0.016000	 0.000277
43000	 0.016319	 0.000026
44000	 0.016597	 0.000074
45000	 0.016889	 0.000015
46000	 0.017433	 0.000254
47000	 0.017642	 0.000132
48000	 0.018099	 0.000127
49000	 0.018423	 0.000104
50000	 0.018898	 0.000175
