 2000	 0.000284	 0.000579
 3000	 0.000188	 0.000154
 4000	 0.000082	 0.000011
 5000	 0.000101	 0.000008
 6000	 0.000118	 0.000004
 7000	 0.000143	 0.000015
 8000	 0.000172	 0.000018
 9000	 0.000181	 0.000011
10000	 0.000216	 0.000021
11000	 0.000219	 0.000012
12000	 0.000238	 0.000014
13000	 0.000264	 0.000014
14000	 0.000292	 0.000026
15000	 0.000316	 0.000017
16000	 0.000337	 0.000031
17000	 0.000357	 0.000030
18000	 0.000365	 0.000031
19000	 0.000397	 0.000031
20000	 0.000409	 0.000035
21000	 0.000431	 0.000032
22000	 0.000463	 0.000032
23000	 0.000463	 0.000023
24000	 0.000486	 0.000022
25000	 0.000509	 0.000021
26000	 0.000538	 0.000039
27000	 0.000551	 0.000028
28000	 0.000569	 0.000031
29000	 0.000579	 0.000034
30000	 0.000601	 0.000026
31000	 0.000638	 0.000035
32000	 0.000643	 0.000015
33000	 0.000663	 0.000033
34000	 0.000710	 0.000007
35000	 0.000707	 0.000011
36000	 0.000738	 0.000023
37000	 0.000745	 0.000014
38000	 0.000802	 0.000035
39000	 0.000808	 0.000051
40000	 0.000866	 0.000071
41000	 0.000823	 0.000003
42000	 0.000846	 0.000031
43000	 0.000873	 0.000023
44000	 0.000903	 0.000013
45000	 0.000910	 0.000024
46000	 0.000935	 0.000030
47000	 0.000971	 0.000009
48000	 0.000965	 0.000025
49000	 0.000986	 0.000025
50000	 0.001000	 0.000026
